raceId,driverId,constructorId,position,points
18,1,1,1,10
18,2,2,2,8
18,3,3,3,6
18,4,4,4,5
18,5,1,5,4
18,6,3,6,3
18,7,5,7,2
18,8,6,8,1
18,9,2,\N,0
18,10,7,\N,0
18,11,8,\N,0
18,12,4,\N,0
18,13,6,\N,0
18,14,9,\N,0
18,15,7,\N,0
18,16,10,\N,0
18,17,9,\N,0
18,18,11,\N,0
18,19,8,\N,0
18,20,5,\N,0
18,21,10,\N,0
18,22,11,\N,0
19,8,6,1,10
19,9,2,2,8
19,5,1,3,6
19,15,7,4,5
19,1,1,5,4
19,2,2,6,3
19,17,9,7,2
19,4,4,8,1
19,14,9,9,0
19,18,11,10,0
19,12,4,11,0
19,21,10,12,0
19,22,11,13,0
19,3,3,14,0
19,19,8,15,0
19,11,8,16,0
19,6,3,17,0
19,20,5,\N,0
19,13,6,\N,0
19,16,10,\N,0
19,10,7,\N,0
19,7,5,\N,0
20,13,6,1,10
20,8,6,2,8
20,9,2,3,6
20,2,2,4,5
20,5,1,5,4
20,15,7,6,3
20,17,9,7,2
20,3,3,8,1
20,10,7,9,0
20,4,4,10,0
20,22,11,11,0
20,21,10,12,0
20,1,1,13,0
20,6,3,14,0
20,7,5,15,0
20,19,8,16,0
20,11,8,17,0
20,14,9,18,0
20,16,10,19,0
20,12,4,\N,0
20,18,11,\N,0
20,20,5,\N,0
21,8,6,1,10
21,13,6,2,8
21,1,1,3,6
21,9,2,4,5
21,17,9,5,4
21,18,11,6,3
21,6,3,7,2
21,15,7,8,1
21,2,2,9,0
21,21,10,10,0
21,10,7,11,0
21,14,9,12,0
21,11,8,13,0
21,3,3,\N,0
21,4,4,\N,0
21,22,11,\N,0
21,5,1,\N,0
21,19,8,\N,0
21,7,5,\N,0
21,12,4,\N,0
21,16,10,\N,0
21,20,5,\N,0
22,13,6,1,10
22,1,1,2,8
22,8,6,3,6
22,9,2,4,5
22,2,2,5,4
22,4,4,6,3
22,17,9,7,2
22,3,3,8,1
22,14,9,9,0
22,15,7,10,0
22,18,11,11,0
22,5,1,12,0
22,10,7,13,0
22,22,11,14,0
22,12,4,15,0
22,16,10,16,0
22,20,5,17,0
22,7,5,\N,0
22,6,3,\N,0
22,21,10,\N,0
23,1,1,1,10
23,9,2,2,8
23,13,6,3,6
23,17,9,4,5
23,20,5,5,4
23,22,11,6,3
23,6,3,7,2
23,5,1,8,1
23,8,6,9,0
23,4,4,10,0
23,18,11,11,0
23,10,7,12,0
23,15,7,13,0
23,2,2,14,0
23,16,10,\N,0
23,3,3,\N,0
23,12,4,\N,0
23,21,10,\N,0
23,14,9,\N,0
23,7,5,\N,0
24,9,2,1,10
24,2,2,2,8
24,14,9,3,6
24,10,7,4,5
24,13,6,5,4
24,15,7,6,3
24,22,11,7,2
24,20,5,8,1
24,5,1,9,0
24,3,3,10,0
24,18,11,11,0
24,17,9,12,0
24,7,5,13,0
24,21,10,\N,0
24,6,3,\N,0
24,4,4,\N,0
24,12,4,\N,0
24,8,6,\N,0
24,1,1,\N,0
24,16,10,\N,0
25,13,6,1,10
25,8,6,2,8
25,15,7,3,6
25,5,1,4,5
25,9,2,5,4
25,17,9,6,3
25,12,4,7,2
25,4,4,8,1
25,14,9,9,0
25,1,1,10,0
25,10,7,11,0
25,20,5,12,0
25,2,2,13,0
25,22,11,14,0
25,6,3,15,0
25,3,3,16,0
25,7,5,17,0
25,21,10,18,0
25,16,10,19,0
25,18,11,\N,0
26,1,1,1,10
26,2,2,2,8
26,22,11,3,6
26,8,6,4,5
26,5,1,5,4
26,4,4,6,3
26,15,7,7,2
26,6,3,8,1
26,3,3,9,0
26,17,9,10,0
26,7,5,11,0
26,10,7,12,0
26,13,6,13,0
26,9,2,\N,0
26,18,11,\N,0
26,12,4,\N,0
26,21,10,\N,0
26,16,10,\N,0
26,20,5,\N,0
26,14,9,\N,0
27,1,1,1,10
27,12,4,2,8
27,13,6,3,6
27,2,2,4,5
27,5,1,5,4
27,8,6,6,3
27,9,2,7,2
27,20,5,8,1
27,15,7,9,0
27,3,3,10,0
27,4,4,11,0
27,7,5,12,0
27,14,9,13,0
27,6,3,14,0
27,16,10,15,0
27,21,10,16,0
27,18,11,17,0
27,22,11,\N,0
27,17,9,\N,0
27,10,7,\N,0
28,5,1,1,10
28,10,7,2,8
28,8,6,3,6
28,4,4,4,5
28,1,1,5,4
28,12,4,6,3
28,15,7,7,2
28,9,2,8,1
28,17,9,9,0
28,2,2,10,0
28,14,9,11,0
28,18,11,12,0
28,6,3,13,0
28,3,3,14,0
28,21,10,15,0
28,22,11,16,0
28,13,6,17,0
28,7,5,18,0
28,16,10,\N,0
28,20,5,\N,0
29,13,6,1,10
29,1,1,2,8
29,9,2,3,6
29,5,1,4,5
29,15,7,5,4
29,20,5,6,3
29,10,7,7,2
29,3,3,8,1
29,2,2,9,0
29,7,5,10,0
29,12,4,11,0
29,17,9,12,0
29,18,11,13,0
29,21,10,14,0
29,6,3,15,0
29,22,11,16,0
29,14,9,17,0
29,8,6,\N,0
29,16,10,\N,0
29,4,4,\N,0
30,13,6,1,10
30,2,2,2,8
30,1,1,3,6
30,4,4,4,5
30,20,5,5,4
30,9,2,6,3
30,7,5,7,2
30,17,9,8,1
30,10,7,9,0
30,5,1,10,0
30,14,9,11,0
30,3,3,12,0
30,16,10,13,0
30,6,3,14,0
30,18,11,15,0
30,15,7,16,0
30,21,10,17,0
30,8,6,18,0
30,22,11,\N,0
30,12,4,\N,0
31,20,5,1,10
31,5,1,2,8
31,9,2,3,6
31,4,4,4,5
31,2,2,5,4
31,13,6,6,3
31,1,1,7,2
31,17,9,8,1
31,8,6,9,0
31,12,4,10,0
31,10,7,11,0
31,6,3,12,0
31,15,7,13,0
31,3,3,14,0
31,18,11,15,0
31,14,9,16,0
31,22,11,17,0
31,7,5,18,0
31,16,10,19,0
31,21,10,\N,0
32,4,4,1,10
32,3,3,2,8
32,1,1,3,6
32,10,7,4,5
32,20,5,5,4
32,2,2,6,3
32,14,9,7,2
32,6,3,8,1
32,18,11,9,0
32,5,1,10,0
32,9,2,11,0
32,7,5,12,0
32,13,6,13,0
32,21,10,14,0
32,8,6,15,0
32,15,7,\N,0
32,16,10,\N,0
32,17,9,\N,0
32,22,11,\N,0
32,12,4,\N,0
33,4,4,1,10
33,9,2,2,8
33,8,6,3,6
33,12,4,4,5
33,15,7,5,4
33,20,5,6,3
33,13,6,7,2
33,17,9,8,1
33,2,2,9,0
33,7,5,10,0
33,3,3,11,0
33,1,1,12,0
33,22,11,13,0
33,18,11,14,0
33,6,3,15,0
33,21,10,\N,0
33,5,1,\N,0
33,16,10,\N,0
33,10,7,\N,0
33,14,9,\N,0
34,1,1,1,10
34,13,6,2,8
34,8,6,3,6
34,4,4,4,5
34,2,2,5,4
34,9,2,6,3
34,10,7,7,2
34,12,4,8,1
34,20,5,9,0
34,14,9,10,0
34,22,11,11,0
34,6,3,12,0
34,7,5,13,0
34,17,9,14,0
34,3,3,15,0
34,18,11,16,0
34,21,10,17,0
34,5,1,\N,0
34,16,10,\N,0
34,15,7,\N,0
35,13,6,1,10
35,4,4,2,8
35,8,6,3,6
35,20,5,4,5
35,1,1,5,4
35,10,7,6,3
35,5,1,7,2
35,15,7,8,1
35,17,9,9,0
35,2,2,10,0
35,9,2,11,0
35,3,3,12,0
35,18,11,13,0
35,7,5,14,0
35,22,11,15,0
35,16,10,16,0
35,6,3,17,0
35,21,10,18,0
35,12,4,\N,0
35,14,9,\N,0
36,8,6,1,10
36,4,1,2,8
36,1,1,3,6
36,2,2,4,5
36,21,4,5,4
36,13,6,6,3
36,3,3,7,2
36,23,7,8,1
36,15,7,9,0
36,5,4,10,0
36,22,11,11,0
36,11,8,12,0
36,17,9,13,0
36,24,5,14,0
36,18,11,15,0
36,19,8,16,0
36,16,12,17,0
36,25,3,\N,0
36,14,9,\N,0
36,9,2,\N,0
36,26,5,\N,0
36,27,12,\N,0
37,4,1,1,10
37,1,1,2,8
37,8,6,3,6
37,2,2,4,5
37,13,6,5,4
37,21,4,6,3
37,15,7,7,2
37,5,4,8,1
37,25,3,9,0
37,17,9,10,0
37,22,11,11,0
37,18,11,12,0
37,11,8,13,0
37,26,5,14,0
37,23,7,15,0
37,19,8,16,0
37,24,5,17,0
37,9,2,18,0
37,3,3,\N,0
37,14,9,\N,0
37,27,12,\N,0
37,16,12,\N,0
38,13,6,1,10
38,1,1,2,8
38,8,6,3,6
38,2,2,4,5
38,4,1,5,4
38,9,2,6,3
38,15,7,7,2
38,21,4,8,1
38,5,4,9,0
38,3,3,10,0
38,25,3,11,0
38,23,7,12,0
38,22,11,13,0
38,27,12,14,0
38,16,12,15,0
38,19,8,16,0
38,17,9,\N,0
38,14,9,\N,0
38,11,8,\N,0
38,24,5,\N,0
38,18,11,\N,0
38,26,5,\N,0
39,13,6,1,10
39,1,1,2,8
39,4,1,3,6
39,9,2,4,5
39,14,9,5,4
39,3,3,6,3
39,5,4,7,2
39,11,8,8,1
39,21,4,9,0
39,22,11,10,0
39,19,8,11,0
39,18,11,12,0
39,16,12,13,0
39,27,12,14,0
39,2,2,\N,0
39,23,7,\N,0
39,24,5,\N,0
39,26,5,\N,0
39,8,6,\N,0
39,15,7,\N,0
39,17,9,\N,0
39,25,3,\N,0
40,4,1,1,10
40,1,1,2,8
40,13,6,3,6
40,21,4,4,5
40,9,2,5,4
40,2,2,6,3
40,25,3,7,2
40,8,6,8,1
40,26,5,9,0
40,22,11,10,0
40,18,11,11,0
40,3,3,12,0
40,5,4,13,0
40,14,9,14,0
40,15,7,15,0
40,23,7,16,0
40,11,8,17,0
40,19,8,18,0
40,27,12,19,0
40,16,12,\N,0
40,17,9,\N,0
40,24,5,\N,0
41,1,1,1,10
41,2,2,2,8
41,25,3,3,6
41,5,4,4,5
41,8,6,5,4
41,11,8,6,3
41,4,1,7,2
41,23,7,8,1
41,17,9,9,0
41,3,3,10,0
41,19,8,11,0
41,22,11,12,0
41,15,7,\N,0
41,24,5,\N,0
41,27,12,\N,0
41,14,9,\N,0
41,9,2,\N,0
41,16,12,\N,0
41,26,5,\N,0
41,18,11,\N,0
41,13,6,\N,0
41,21,4,\N,0
42,1,1,1,10
42,4,1,2,8
42,13,6,3,6
42,8,6,4,5
42,5,4,5,4
42,15,7,6,3
42,17,9,7,2
42,20,2,8,1
42,21,4,9,0
42,25,3,10,0
42,19,8,11,0
42,18,11,12,0
42,26,5,13,0
42,16,12,14,0
42,27,12,15,0
42,3,3,16,0
42,24,5,17,0
42,2,2,\N,0
42,11,8,\N,0
42,14,9,\N,0
42,22,11,\N,0
42,23,7,\N,0
43,8,6,1,10
43,13,6,2,8
43,1,1,3,6
43,9,2,4,5
43,2,2,5,4
43,21,4,6,3
43,4,1,7,2
43,18,11,8,1
43,3,3,9,0
43,23,7,10,0
43,22,11,11,0
43,17,9,12,0
43,14,9,13,0
43,25,3,14,0
43,5,4,15,0
43,11,8,16,0
43,16,12,17,0
43,26,5,\N,0
43,27,12,\N,0
43,19,8,\N,0
43,15,7,\N,0
43,24,5,\N,0
44,8,6,1,10
44,4,1,2,8
44,1,1,3,6
44,9,2,4,5
44,13,6,5,4
44,2,2,6,3
44,5,4,7,2
44,21,4,8,1
44,22,11,9,0
44,18,11,10,0
44,14,9,11,0
44,3,3,12,0
44,25,3,13,0
44,11,8,14,0
44,27,12,15,0
44,24,5,16,0
44,15,7,\N,0
44,19,8,\N,0
44,26,5,\N,0
44,23,7,\N,0
44,16,12,\N,0
44,17,9,\N,0
45,4,1,1,10
45,13,6,2,8
45,17,9,3,6
45,25,3,4,5
45,14,9,5,4
45,2,2,6,3
45,9,2,7,2
45,5,4,8,1
45,1,1,9,0
45,21,4,10,0
45,22,11,11,0
45,19,8,12,0
45,15,7,13,0
45,8,6,\N,0
45,11,8,\N,0
45,23,7,\N,0
45,28,12,\N,0
45,18,11,\N,0
45,16,12,\N,0
45,3,3,\N,0
45,26,5,\N,0
45,24,5,\N,0
46,1,1,1,10
46,8,6,2,8
46,2,2,3,6
46,4,1,4,5
46,9,2,5,4
46,23,7,6,3
46,3,3,7,2
46,5,4,8,1
46,17,9,9,0
46,15,7,10,0
46,14,9,11,0
46,21,4,12,0
46,13,6,13,0
46,25,3,14,0
46,11,8,15,0
46,20,5,16,0
46,16,12,17,0
46,22,11,18,0
46,24,5,\N,0
46,19,8,\N,0
46,18,11,\N,0
46,29,12,\N,0
47,13,6,1,10
47,8,6,2,8
47,4,1,3,6
47,2,2,4,5
47,1,1,5,4
47,5,4,6,3
47,3,3,7,2
47,9,2,8,1
47,21,4,9,0
47,14,9,10,0
47,25,3,11,0
47,23,7,12,0
47,18,11,13,0
47,19,8,14,0
47,24,5,15,0
47,15,7,16,0
47,22,11,17,0
47,11,8,18,0
47,20,5,19,0
47,29,12,20,0
47,16,12,21,0
47,17,9,\N,0
48,4,1,1,10
48,1,1,2,8
48,8,6,3,6
48,2,2,4,5
48,9,2,5,4
48,3,3,6,3
48,5,4,7,2
48,18,11,8,1
48,17,9,9,0
48,22,11,10,0
48,15,7,11,0
48,21,4,12,0
48,25,3,13,0
48,19,8,14,0
48,23,7,15,0
48,11,8,16,0
48,24,5,17,0
48,20,5,18,0
48,16,12,19,0
48,29,12,20,0
48,13,6,\N,0
48,14,9,\N,0
49,8,6,1,10
49,13,6,2,8
49,4,1,3,6
49,1,1,4,5
49,2,2,5,4
49,3,3,6,3
49,17,9,7,2
49,5,4,8,1
49,9,2,9,0
49,23,7,10,0
49,15,7,11,0
49,24,5,12,0
49,22,11,13,0
49,16,12,14,0
49,11,8,15,0
49,19,8,16,0
49,29,12,17,0
49,18,11,\N,0
49,25,3,\N,0
49,14,9,\N,0
49,20,5,\N,0
49,21,4,\N,0
50,1,1,1,10
50,5,4,2,8
50,8,6,3,6
50,14,9,4,5
50,21,4,5,4
50,13,6,6,3
50,9,2,7,2
50,16,12,8,1
50,24,5,9,0
50,22,11,10,0
50,18,11,11,0
50,29,12,12,0
50,15,7,13,0
50,2,2,14,0
50,11,8,15,0
50,23,7,\N,0
50,19,8,\N,0
50,3,3,\N,0
50,20,5,\N,0
50,17,9,\N,0
50,4,1,\N,0
50,25,3,\N,0
51,8,6,1,10
51,4,1,2,8
51,13,6,3,6
51,20,5,4,5
51,18,11,5,4
51,24,5,6,3
51,2,2,7,2
51,14,9,8,1
51,5,4,9,0
51,17,9,10,0
51,21,4,11,0
51,25,3,12,0
51,15,7,13,0
51,11,8,14,0
51,22,11,15,0
51,3,3,16,0
51,29,12,17,0
51,9,2,\N,0
51,1,1,\N,0
51,23,7,\N,0
51,16,12,\N,0
51,19,8,\N,0
52,8,6,1,10
52,13,6,2,8
52,4,1,3,6
52,3,3,4,5
52,9,2,5,4
52,2,2,6,3
52,1,1,7,2
52,15,7,8,1
52,14,9,9,0
52,6,3,10,0
52,23,7,11,0
52,11,8,12,0
52,24,5,13,0
52,19,8,14,0
52,16,12,\N,0
52,22,11,\N,0
52,5,4,\N,0
52,20,5,\N,0
52,18,11,\N,0
52,17,9,\N,0
52,29,12,\N,0
52,21,4,\N,0
53,4,4,1,10
53,30,6,2,8
53,8,1,3,6
53,18,11,4,5
53,31,1,5,4
53,17,3,6,3
53,3,3,7,2
53,32,9,8,1
53,13,6,9,0
53,14,9,10,0
53,24,5,11,0
53,2,2,12,0
53,26,5,13,0
53,23,7,14,0
53,22,11,15,0
53,15,7,16,0
53,33,13,17,0
53,11,8,18,0
53,34,8,\N,0
53,35,2,\N,0
53,21,4,\N,0
53,27,13,\N,0
54,21,4,1,10
54,4,4,2,8
54,18,11,3,6
54,31,1,4,5
54,13,6,5,4
54,30,6,6,3
54,35,2,7,2
54,23,7,8,1
54,15,7,9,0
54,22,11,10,0
54,24,5,11,0
54,27,13,12,0
54,33,13,13,0
54,11,8,14,0
54,2,2,\N,0
54,26,5,\N,0
54,34,8,\N,0
54,32,9,\N,0
54,17,3,\N,0
54,14,9,\N,0
54,3,3,\N,0
54,8,1,\N,0
55,4,4,1,10
55,8,1,2,8
55,23,7,3,6
55,2,2,4,5
55,21,4,5,4
55,35,2,6,3
55,22,11,7,2
55,14,9,8,1
55,26,5,9,0
55,18,11,10,0
55,27,13,11,0
55,11,8,12,0
55,34,8,13,0
55,31,1,\N,0
55,33,13,\N,0
55,24,5,\N,0
55,30,6,\N,0
55,17,3,\N,0
55,32,9,\N,0
55,15,7,\N,0
55,3,3,\N,0
55,13,6,\N,0
56,30,6,1,10
56,4,4,2,8
56,31,1,3,6
56,13,6,4,5
56,8,1,5,4
56,17,3,6,3
56,18,11,7,2
56,21,4,8,1
56,23,7,9,0
56,22,11,10,0
56,3,3,11,0
56,35,2,12,0
56,2,2,13,0
56,24,5,14,0
56,26,5,15,0
56,33,13,16,0
56,14,9,\N,0
56,11,8,\N,0
56,32,9,\N,0
56,34,8,\N,0
56,15,7,\N,0
56,27,13,\N,0
57,30,6,1,10
57,4,4,2,8
57,13,6,3,6
57,8,1,4,5
57,22,11,5,4
57,21,4,6,3
57,3,3,7,2
57,35,2,8,1
57,15,7,9,0
57,2,2,10,0
57,26,5,11,0
57,33,13,12,0
57,27,13,13,0
57,23,7,\N,0
57,31,1,\N,0
57,11,8,\N,0
57,36,8,\N,0
57,18,11,\N,0
57,32,9,\N,0
57,17,3,\N,0
57,14,9,\N,0
57,24,5,\N,0
58,4,4,1,10
58,30,6,2,8
58,21,4,3,6
58,13,6,4,5
58,8,1,5,4
58,18,11,6,3
58,22,11,7,2
58,2,2,8,1
58,17,3,9,0
58,15,7,10,0
58,3,3,11,0
58,35,2,12,0
58,32,9,13,0
58,14,9,14,0
58,24,5,15,0
58,33,13,16,0
58,11,8,17,0
58,27,13,\N,0
58,26,5,\N,0
58,23,7,\N,0
58,31,1,\N,0
58,36,8,\N,0
59,4,4,1,10
59,31,1,2,8
59,14,9,3,6
59,22,11,4,5
59,30,6,5,4
59,21,4,6,3
59,2,2,7,2
59,23,7,8,1
59,13,6,9,0
59,24,5,10,0
59,18,11,11,0
59,27,13,12,0
59,26,5,13,0
59,35,2,14,0
59,33,13,15,0
59,36,8,16,0
59,15,7,17,0
59,32,9,\N,0
59,3,3,\N,0
59,8,1,\N,0
59,17,3,\N,0
59,11,8,\N,0
60,4,4,1,10
60,30,6,2,8
60,8,1,3,6
60,21,4,4,5
60,13,6,5,4
60,31,1,6,3
60,2,2,7,2
60,35,2,8,1
60,3,3,9,0
60,22,11,10,0
60,15,7,11,0
60,14,9,12,0
60,24,5,13,0
60,32,9,14,0
60,27,13,15,0
60,33,13,16,0
60,11,8,17,0
60,36,8,18,0
60,18,11,\N,0
60,26,5,\N,0
60,23,7,\N,0
60,17,3,\N,0
61,4,4,1,10
61,30,6,2,8
61,8,1,3,6
61,21,4,4,5
61,13,6,5,4
61,15,7,6,3
61,2,2,7,2
61,14,9,8,1
61,18,11,9,0
61,26,5,10,0
61,32,9,11,0
61,17,3,12,0
61,24,5,13,0
61,33,13,14,0
61,11,8,15,0
61,35,2,\N,0
61,23,7,\N,0
61,31,1,\N,0
61,22,11,\N,0
61,36,8,\N,0
61,3,3,\N,0
61,27,13,\N,0
62,30,6,1,10
62,13,6,2,8
62,21,4,3,6
62,15,7,4,5
62,4,4,5,4
62,22,11,6,3
62,14,9,7,2
62,24,5,8,1
62,3,3,9,0
62,23,7,\N,0
62,27,13,\N,0
62,35,2,\N,0
62,33,13,\N,0
62,11,8,\N,0
62,18,11,\N,0
62,8,1,\N,0
62,2,2,\N,0
62,31,1,\N,0
62,17,3,\N,0
62,26,5,\N,0
62,32,9,\N,0
62,36,8,\N,0
63,30,6,1,10
63,4,4,2,8
63,13,6,3,6
63,23,7,4,5
63,8,1,5,4
63,21,4,6,3
63,37,1,7,2
63,2,2,8,1
63,14,9,9,0
63,26,5,10,0
63,35,2,11,0
63,32,9,12,0
63,24,5,13,0
63,3,3,14,0
63,27,13,15,0
63,36,8,16,0
63,18,11,\N,0
63,17,3,\N,0
63,15,7,\N,0
63,22,11,\N,0
63,33,13,\N,0
63,11,8,\N,0
64,30,6,1,10
64,13,6,2,8
64,8,1,3,6
64,18,11,4,5
64,4,4,5,4
64,21,4,6,3
64,15,7,7,2
64,32,9,8,1
64,23,7,9,0
64,24,5,10,0
64,14,9,11,0
64,26,5,12,0
64,17,3,\N,0
64,11,8,\N,0
64,35,2,\N,0
64,22,11,\N,0
64,2,2,\N,0
64,37,1,\N,0
64,29,8,\N,0
64,3,3,\N,0
64,27,13,\N,0
64,33,13,\N,0
65,18,11,1,10
65,37,1,2,8
65,2,2,3,6
65,22,11,4,5
65,14,9,5,4
65,23,7,6,3
65,13,6,7,2
65,30,6,8,1
65,33,13,9,0
65,27,13,10,0
65,26,5,11,0
65,15,7,12,0
65,11,8,13,0
65,4,4,\N,0
65,8,1,\N,0
65,24,5,\N,0
65,3,3,\N,0
65,21,4,\N,0
65,32,9,\N,0
65,17,3,\N,0
65,29,8,\N,0
65,9,2,\N,0
66,13,6,1,10
66,4,4,2,8
66,30,6,3,6
66,18,11,4,5
66,37,1,5,4
66,21,4,6,3
66,23,7,7,2
66,22,11,8,1
66,15,7,9,0
66,17,3,10,0
66,32,9,11,0
66,9,2,12,0
66,26,5,13,0
66,2,2,14,0
66,14,9,15,0
66,27,13,\N,0
66,11,8,\N,0
66,3,3,\N,0
66,29,8,\N,0
66,24,5,\N,0
66,8,1,\N,0
66,33,13,\N,0
67,30,6,1,10
67,8,1,2,8
67,9,2,3,6
67,21,4,4,5
67,18,11,5,4
67,22,11,6,3
67,15,7,7,2
67,2,2,8,1
67,13,6,9,0
67,17,3,10,0
67,32,9,11,0
67,14,9,12,0
67,26,5,13,0
67,24,5,14,0
67,23,7,15,0
67,11,8,16,0
67,27,14,17,0
67,33,14,\N,0
67,4,4,\N,0
67,37,1,\N,0
67,29,8,\N,0
67,3,3,\N,0
68,30,6,1,10
68,4,4,2,8
68,21,4,3,6
68,18,11,4,5
68,37,1,5,4
68,22,11,6,3
68,2,2,7,2
68,17,3,8,1
68,14,9,9,0
68,24,5,10,0
68,3,3,11,0
68,38,9,12,0
68,9,2,13,0
68,26,5,14,0
68,27,14,15,0
68,29,8,16,0
68,23,7,\N,0
68,13,6,\N,0
68,15,7,\N,0
68,33,14,\N,0
68,8,1,\N,0
68,11,8,\N,0
69,4,4,1,10
69,13,6,2,8
69,21,4,3,6
69,18,11,4,5
69,8,1,5,4
69,15,7,6,3
69,23,7,7,2
69,2,2,8,1
69,9,2,9,0
69,3,3,10,0
69,37,1,11,0
69,22,11,12,0
69,38,9,13,0
69,24,5,14,0
69,11,8,15,0
69,33,14,16,0
69,29,8,17,0
69,26,5,18,0
69,17,3,\N,0
69,30,6,\N,0
69,14,9,\N,0
69,27,14,\N,0
70,13,6,1,10
70,4,4,2,8
70,18,11,3,6
70,30,6,4,5
70,8,1,5,4
70,21,4,6,3
70,22,11,7,2
70,37,1,8,1
70,9,2,9,0
70,11,8,10,0
70,26,5,11,0
70,38,9,12,0
70,24,5,13,0
70,27,14,14,0
70,33,14,15,0
70,29,8,16,0
70,2,2,17,0
70,14,9,\N,0
70,15,7,\N,0
70,23,7,\N,0
70,17,3,\N,0
70,3,3,\N,0
71,21,4,1,10
71,22,6,2,8
71,4,4,3,6
71,14,9,4,5
71,17,3,5,4
71,31,1,6,3
71,32,9,7,2
71,8,1,8,1
71,15,7,9,0
71,13,15,10,0
71,18,16,\N,0
71,23,7,12,0
71,35,15,13,0
71,11,16,\N,0
71,39,17,15,0
71,33,17,16,0
71,40,18,17,0
71,30,6,\N,0
71,2,3,\N,0
71,27,18,\N,0
72,4,4,1,10
72,15,7,2,8
72,2,3,3,6
72,31,1,4,5
72,23,7,5,4
72,14,9,6,3
72,30,6,7,2
72,32,9,8,1
72,8,1,9,0
72,13,15,10,0
72,39,17,11,0
72,33,17,12,0
72,27,18,13,0
72,22,6,\N,0
72,21,4,\N,0
72,17,3,\N,0
72,35,15,\N,0
72,18,16,\N,0
72,19,16,\N,0
72,40,18,\N,0
73,4,4,1,10
73,15,7,2,8
73,8,1,3,6
73,23,7,4,5
73,37,1,5,4
73,17,3,6,3
73,13,15,7,2
73,14,9,8,1
73,22,6,9,0
73,33,17,10,0
73,35,15,11,0
73,40,18,12,0
73,27,18,13,0
73,18,16,\N,0
73,11,16,\N,0
73,2,3,\N,0
73,30,6,\N,0
73,21,4,\N,0
73,39,17,\N,0
73,32,9,\N,0
74,4,4,1,10
74,30,6,2,8
74,25,1,3,6
74,35,15,4,5
74,15,7,5,4
74,2,3,6,3
74,17,3,7,2
74,24,9,8,1
74,23,7,9,0
74,13,15,10,0
74,14,9,11,0
74,39,17,12,0
74,33,17,13,0
74,27,18,\N,0
74,22,6,\N,0
74,8,1,\N,0
74,40,18,\N,0
74,21,4,\N,0
74,18,16,\N,0
74,11,16,\N,0
75,8,1,1,10
75,4,4,2,8
75,15,7,3,6
75,23,7,4,5
75,21,4,5,4
75,17,3,6,3
75,31,1,7,2
75,14,9,8,1
75,22,6,9,0
75,2,3,10,0
75,13,15,11,0
75,33,17,12,0
75,39,17,13,0
75,35,15,\N,0
75,30,6,\N,0
75,27,18,\N,0
75,40,18,\N,0
75,24,9,\N,0
76,8,1,1,10
76,2,3,2,8
76,17,3,3,6
76,4,4,4,5
76,31,1,5,4
76,23,7,6,3
76,30,6,7,2
76,22,6,8,1
76,13,15,9,0
76,15,7,10,0
76,35,15,11,0
76,21,4,12,0
76,33,17,13,0
76,27,18,14,0
76,24,9,\N,0
76,40,18,\N,0
76,14,9,\N,0
76,39,17,\N,0
77,4,4,1,10
77,2,3,2,8
77,22,6,3,6
77,14,9,4,5
77,30,6,5,4
77,21,4,6,3
77,31,1,7,2
77,15,7,8,1
77,24,9,9,0
77,18,16,10,0
77,8,1,11,0
77,11,16,12,0
77,35,15,13,0
77,13,15,14,0
77,33,17,15,0
77,39,17,16,0
77,27,18,17,0
77,40,18,18,0
77,23,7,\N,0
77,17,3,\N,0
78,8,1,1,10
78,30,6,2,8
78,22,6,3,6
78,13,15,4,5
78,17,3,5,4
78,23,7,6,3
78,14,9,7,2
78,32,9,8,1
78,35,15,9,0
78,33,17,10,0
78,27,18,11,0
78,15,7,\N,0
78,18,16,\N,0
78,2,3,\N,0
78,11,16,\N,0
78,40,18,\N,0
78,4,4,\N,0
78,21,4,\N,0
78,39,17,\N,0
78,31,1,\N,0
79,30,6,1,10
79,22,6,2,8
79,33,17,3,6
79,39,17,4,5
79,27,18,5,4
79,40,18,6,3
79,15,7,\N,0
79,8,1,\N,0
79,18,16,\N,0
79,21,4,\N,0
79,4,4,\N,0
79,11,16,\N,0
79,17,3,\N,0
79,13,15,\N,0
79,31,1,\N,0
79,35,15,\N,0
79,41,7,\N,0
79,32,9,\N,0
79,2,3,\N,0
79,14,9,\N,0
80,4,4,1,10
80,8,1,2,8
80,30,6,3,6
80,18,16,4,5
80,15,7,5,4
80,21,4,6,3
80,23,7,7,2
80,35,15,8,1
80,22,6,9,0
80,14,9,10,0
80,11,16,11,0
80,17,3,12,0
80,33,17,13,0
80,2,3,14,0
80,39,17,15,0
80,31,1,\N,0
80,27,18,\N,0
80,40,18,\N,0
80,13,15,\N,0
80,32,9,\N,0
81,31,1,1,10
81,4,4,2,8
81,8,1,3,6
81,21,4,4,5
81,18,16,5,4
81,30,6,6,3
81,22,6,7,2
81,23,7,8,1
81,15,7,9,0
81,13,15,10,0
81,17,3,11,0
81,2,3,12,0
81,14,9,13,0
81,35,15,14,0
81,32,9,15,0
81,11,16,16,0
81,33,17,17,0
81,27,18,18,0
81,40,18,19,0
81,39,17,\N,0
82,4,4,1,10
82,31,1,2,8
82,18,16,3,6
82,21,4,4,5
82,30,6,5,4
82,23,7,6,3
82,14,9,7,2
82,13,15,8,1
